01_avg_notes_per_sec,02_p95_notes_per_sec,03_max_notes_1sec_window,04_shortest_note_dur_sec,05_rest_to_note_ratio,06_notes_per_minute,07_max_simultaneous_lh,07_max_simultaneous_rh,08_avg_simultaneous_lh,08_avg_simultaneous_rh,09_max_chord_span_st_lh,09_max_chord_span_st_rh,10_pct_chords_gt_octave,11_cluster_density,12_avg_melodic_interval_lh,12_avg_melodic_interval_rh,13_max_melodic_leap_lh,13_max_melodic_leap_rh,14_pct_intervals_gt_octave_lh,14_pct_intervals_gt_octave_rh,15_avg_hand_displacement_2sec,16_hand_crossing_count,17_avg_voice_count,18_pct_measures_3plus_voices,19_inter_hand_rhythmic_corr,20_sustained_overlap_freq,21_tuplet_density,22_syncopation_index,23_polyrhythm_count,24_distinct_rhythm_vals_per_measure,25_time_sig_change_count,26_accidental_density,27_key_sig_sharps_flats,28_key_change_count,29_repeated_note_density,30_ornament_density,_meta_file,_meta_tempo_bpm,_meta_total_duration_sec,_meta_total_notes
6.0419,14.0,18,0.092,0.4019,362.512,1,1,1.0,1.0,0,0,0,0,3.5362,3.5362,23,23,9.4203,9.4203,11.0952,139,1.0,0.0,1.0,0.0,0.3116,0.6654,0,1.7081,19,0.5358,0,0,0.1884,0.0,VGM GBA — Arena Battle15569 bytesComments — 15569 bytesComments_0613a543.mid,163.0,46.01,278
1.5211,4.0,4,0.2885,0.0208,91.2653,1,1,1.0,1.0,0,0,0,0,2.0471,2.0471,6,6,0.0,0.0,2.6226,0,1.0,0.0,1.0,0.0,0.0778,0.5273,0,1.2914,0,0.2051,0,0,0.1176,0.0,VGM GBA — Babi's Theme13860 bytesKDSComments — 13860 bytesKDSComments_3f48e552.mid,104.0,113.08,172
5.6127,10.0,11,0.1027,0.1688,336.7642,2,2,1.0278,1.0147,5,5,0.0,0.0,2.5708,2.8991,12,12,0.0,0.0,8.8097,162,1.0,0.0,0.7242,0.0,0.069,0.5634,0,2.1373,0,0.1208,0,0,0.0553,0.0,VGM GBA — Desert22941 bytesKDSComments — 22941 bytesKDSComments_f61f62bc.mid,146.0,174.25,978
6.3818,14.0,18,0.0857,0.1714,382.906,1,1,1.0,1.0,0,0,0,0,6.5524,6.5524,17,17,7.1987,7.1987,13.0324,0,1.0,0.0,1.0,0.0,0.0,0.6039,0,1.2257,0,0.3994,0,0,0.2066,0.0,VGM GBA — EX-Boss70355 bytesJaceComments — 70355 bytesJaceComments_6c44f12d.mid,175.0,200.57,1280
4.7339,8.0,9,0.1007,0.4932,284.0312,1,1,1.0,1.0,0,0,0,0,3.6882,0.7569,33,12,5.3763,0.0,3.3245,66,1.0345,0.0,0.2293,0.0213,0.0051,0.6047,4,1.5647,0,0.244,0,0,0.7892,0.0,VGM GBA — Egg Rocket Zone  (v1.2)22774 bytesDavid AustinComments — 22774 bytesDavid AustinComments_6db98fe8.mid,149.0,141.74,671
1.0148,4.0,5,0.1172,6.14,60.89,3,2,1.4,1.7045,7,7,0.0,0.0156,3.0,3.0057,9,14,0.0,1.1429,6.7958,0,1.0,0.0,-0.0117,0.0,0.0,0.6526,0,1.64,28,0.1303,0,0,0.1848,0.0,VGM GBA — Fellmuth Arena37294 bytesRexyComments — 37294 bytesRexyComments_ca2201ea.mid,128.0,183.28,186
7.6345,12.0,13,0.0309,0.6803,458.069,3,3,2.5632,2.5325,10,10,0.0,0.189,1.2322,1.2495,19,19,2.3033,2.603,4.8804,156,1.0,0.0,0.2209,0.0805,0.8073,0.5879,36,1.6778,0,0.4308,0,0,0.5804,0.0,VGM GBA — Final Battle (XG)60120 bytesSwordBoltComments — 60120 bytesSwordBoltComments_4273712d.mid,162.0,128.89,984
3.55,6.0,8,0.2113,1.5263,213.0,1,1,1.0,1.0,0,0,0,0,0.5017,0.5017,6,6,0.0,0.0,1.14,0,1.0,0.0,1.0,0.0,0.0,0.6584,0,1.5526,0,0.2527,0,0,0.8885,0.0,VGM GBA — Final Boss Battle 1 - _Supreme Ruler_ (2)68814 bytesKing MeteorComments — 68814 bytesKing MeteorComments_a97b7589.mid,142.0,162.25,576
3.7742,6.0,8,0.15,0.1669,226.4493,2,2,1.234,1.0402,7,2,0.0,0.102,4.8747,2.6532,19,17,5.3333,1.6129,6.411,7,1.0,0.0,0.5585,0.008,0.0122,0.3692,6,1.8186,0,0.2835,0,0,0.1268,0.0,VGM GBA — Final Fantasy II_ Overworld (2)10769 bytesJay ReichardComments — 10769 bytesJay ReichardComments_f800ebc7.mid,100.0,165.6,625
6.3199,8.0,9,0.1111,0.8262,379.1912,2,1,1.3333,1.0,12,0,0.0,0.0,8.007,26.4937,17,72,10.4895,37.1308,40.1624,4,1.2727,0.0,0.7513,0.3739,0.054,0.8433,6,1.5089,0,0.1779,0,0,0.0053,0.0,VGM GBA — Final Fantasy_ The Citadel of Trials9076 bytesBrandon HudsonComments — 9076 bytesBrandon HudsonComments_ca4f20ad.mid,135.0,60.44,382
5.7483,8.0,12,0.1364,0.1968,344.8958,1,1,1.0,1.0,0,0,0,0,3.4528,6.6965,41,28,5.6604,10.0548,20.5772,28,1.0,0.0,0.1773,0.5338,0.0,0.7405,0,1.8207,0,0.2335,0,0,0.02,0.0799,VGM GBA — Ice Mountain Zone_ Act 113146 bytesStacy Anne ChristiansenComments — 13146 bytesStacy Anne ChristiansenComments_1c95ab7a.mid,110.0,104.73,602
2.999,9.0,10,0.1154,4.5862,179.939,1,1,1.0,1.0,0,0,0,0,2.6136,2.3942,15,10,1.1364,0.0,6.0506,14,1.0,0.0,0.2038,0.0,0.0,0.688,0,1.9316,0,0.3835,0,0,0.1244,0.0,VGM GBA — Level 113630 bytesKaoComments — 13630 bytesKaoComments_db75a62e.mid,130.0,75.69,227
0,0,0,0,0.5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0.608,0,1.566,20,0.1371,0,0,0.0,0.0,VGM GBA — Naming Characters17020 bytesCyber BuddhaComments — 17020 bytesCyber BuddhaComments_24a06621.mid,145.0,97.24,0
1.3125,2.0,2,0.375,0.6271,78.75,0,2,0,1.2857,0,9,0.0,0.0,0,1.7,0,9,0,0.0,4.0769,0,1.0,0.0,0.0,0.0,0.0476,0.0,0,1.125,0,0.0,2,0,0.55,0.0,VGM GBA — Pasaran's Music Box355 bytesNOTEComments — 355 bytesNOTEComments_fe65fb84.mid,120.0,16.0,21
4.6276,10.0,12,0.0784,1.7606,277.6533,3,2,2.2814,1.6474,9,8,0.0,0.0,2.8944,1.4763,15,10,0.2514,0.0,7.1721,145,1.0,0.0,0.1503,0.0151,0.0106,0.3275,0,1.4961,0,0.0,0,0,0.6503,0.0,VGM GBA — Puzzle Mode_ Challenge Is Given129646 bytesMerit CelaireComments — 129646 bytesMerit CelaireComments_8f4d4d45.mid,255.0,598.59,2770
9.1892,10.0,10,0.2,0.0,551.3514,1,1,1.0,1.0,0,0,0,0,0.3201,0.3201,9,9,0.0,0.0,2.7431,0,1.0,0.0,1.0,0.0,0.0,0.5748,0,1.3414,0,0.0305,0,0,0.9016,0.0,VGM GBA — Snowy Plains - _Trail on Powdery Snow_ (3)94244 bytesKing MeteorComments — 94244 bytesKing MeteorComments_3408c0e4.mid,150.0,236.8,2176
0.5947,4.0,5,0.2326,2.1402,35.6809,1,1,1.0,1.0,0,0,0,0,3.2647,6.75,10,14,0.0,6.25,8.4,0,1.0,0.0,0.0691,0.0,0.0,0.5245,0,1.0341,0,0.3846,0,0,0.08,0.0,VGM GBA — Title Screen 111328 bytes!!!!!Comments — 11328 bytes!!!!!Comments_b1f6be2d.mid,129.0,87.44,52
7.637,13.0,16,0.163,0.1307,458.2202,2,2,1.0219,1.0317,14,49,37.7778,0.0,7.064,9.2418,36,49,11.2736,14.1432,23.3902,147,1.4967,9.33,0.6143,0.7603,0.0,0.6162,0,1.5373,0,0.2052,0,0,0.3438,0.0,VGM GBA — True Area 53 (Remix)160841 bytesComments — 160841 bytesComments_34dcf37d.mid,92.0,438.26,3347
1.719,4.0,4,0.7895,0.0182,103.1429,2,1,1.1316,1.0,12,0,0.0,0.0,2.6486,2.6486,5,5,0.0,0.0,2.8846,5,1.0,0.0,1.0,0.0,0.0,0.0,0,1.1622,0,0.1452,4,0,0.0,0.0,VGM GBA — Within Sadness1754 bytesKevin ThreadgillComments — 1754 bytesKevin ThreadgillComments_4ddea0e2.mid,76.0,44.21,76
1.4375,4.0,6,0.1304,6.0943,86.25,1,1,1.0,1.0,0,0,0,0,3.493,3.493,12,12,0.0,0.0,2.0,0,1.0,0.0,1.0,0.0,0.0,0.687,0,1.0886,0,0.614,0,0,0.4507,0.0,VGM GBA — Zone 3 - Ocean Base_ Map (2)21267 bytesKing MeteorComments — 21267 bytesKing MeteorComments_cb538407.mid,115.0,100.17,144
0.725,2.0,2,1.25,1.0645,43.5,0,26,0,22.8621,0,40,94.8276,0.8249,0,3.0,0,14,0,1.7544,2.1176,0,2.0,0.0,0.0,0.0948,0.2069,0.0,0,0.0,0,0.0,0,0,1.0,0.0,VGM Game Boy — Battle with King DeDeDe (2)22604 bytesBen KosminaComments — 22604 bytesBen KosminaComments_949dde95.mid,12.0,80.0,58
2.6667,6.0,8,0.0938,0.0,160.0,1,1,1.0,1.0,0,0,0,0,2.3478,2.3913,6,7,0.0,0.0,3.8929,24,1.0,0.0,1.0,0.0,0.0,0.439,0,1.1458,0,0.5,0,0,0.1304,0.0,VGM Game Boy — Boss 12728 bytesDaniel GenzComments — 2728 bytesDaniel GenzComments_d41361a5.mid,160.0,18.0,48
17.4939,21.0,23,0.075,0.5696,1049.635,0,10,0,3.178,0,42,92.2953,0.4361,0,4.4401,0,17,0,2.3677,24.0008,0,3.3714,94.29,0.0,0.5264,0.0056,0.75,0,1.0,2,0.5,0,0,0.3538,0.0,VGM Game Boy — Boss17322 bytesManuel SarmientoComments — 17322 bytesManuel SarmientoComments_3407f9a5.mid,200.0,41.1,719
7.2786,11.0,14,0.0769,0.0,436.7188,1,1,1.0,1.0,0,0,0,0,3.2071,2.7475,20,20,1.4793,1.6393,8.2442,0,1.0,0.0,0.2903,0.0,0.0169,0.3803,6,1.4444,0,0.7155,0,0,0.042,0.0,VGM Game Boy — Breager's Castle (v1.1)8932 bytesChristian PauseComments — 8932 bytesChristian PauseComments_fa04e8bf.mid,195.0,88.62,645
6.375,8.0,9,0.1875,0.0,382.5,1,1,1.0,1.0,0,0,0,0,3.3131,5.317,8,12,0.0,0.0,8.4717,0,1.0,0.0,0.3887,0.0,0.0,0.7052,0,1.7,0,0.1279,0,0,0.0049,0.0,VGM Game Boy — Bubbly Clouds (3)13499 bytesComments — 13499 bytesComments_d70219ac.mid,80.0,96.0,612
6.7031,11.0,13,0.0909,0.8824,402.1875,1,1,1.0,1.0,0,0,0,0,7.7848,1.56,21,19,6.3291,1.3333,14.8913,46,1.0,0.0,0.5076,0.0,0.0,0.6014,0,1.6667,0,0.3357,0,0,0.2727,0.0,VGM Game Boy — Burnt Wario9696 bytesMatthew CollinsonComments — 9696 bytesMatthew CollinsonComments_c73e732b.mid,165.0,23.27,156
8.0,8.0,8,0.125,0.2308,480.0,0,1,0,1.0,0,0,0,0,0,9.874,0,26,0,24.4094,26.0,0,1.0,0.0,0.0,0.0,0.0,0.7241,0,1.0,0,0.2568,0,0,0.0,0.0,VGM Game Boy — DJ Sample 1 (XG)7862 bytesThe Ultimate KoopaComments — 7862 bytesThe Ultimate KoopaComments_2af51616.mid,120.0,16.0,128
3.6848,6.0,7,0.1463,0.0354,221.0865,1,2,1.0,1.0804,0,15,29.6296,0.0,6.0804,3.9104,26,19,10.5528,5.9701,9.416,0,1.0882,0.98,0.2961,0.1205,0.0,0.0,0,1.2009,0,0.0446,0,0,0.2172,0.0,VGM Game Boy — End9828 bytesDave CouzelisComments — 9828 bytesDave CouzelisComments_c066e1c7.mid,205.0,145.46,536
7.5,10.0,10,0.125,0.9394,450.0,1,1,1.0,1.0,0,0,0,0,2.4,3.4615,9,12,0.0,0.0,8.75,0,1.0,0.0,0.9213,0.0,0.0,0.4918,0,1.5,0,0.2391,0,0,0.0714,0.0,VGM Game Boy — Game Over922 bytesMatthewCollinsonComments — 922 bytesMatthewCollinsonComments_5f73065c.mid,120.0,4.0,30
3.75,7.0,8,0.15,1.7748,225.0,2,3,1.2203,1.5391,12,24,10.6796,0.0,2.1146,2.1135,12,12,0.0,0.0,4.7344,54,1.0,0.0,0.191,0.0,0.0,0.7857,0,1.4786,0,0.3248,0,0,0.3029,0.0,VGM Game Boy — Level 3 - Moonlit Grotto23377 bytesAlopComments — 23377 bytesAlopComments_8fe1914b.mid,100.0,187.2,702
5.4386,7.0,7,0.1875,0.0411,326.3158,1,1,1.0,1.0,0,0,0,0,2.452,6.2542,27,30,3.7152,2.7119,12.4911,6,1.0,0.0,-0.0226,0.0,0.0,0.6141,0,1.4149,0,0.563,0,0,0.2977,0.0,VGM Game Boy — Level 6 - Mermaid Cave19421 bytesAlopComments — 19421 bytesAlopComments_5db3b169.mid,80.0,114.0,620
2.6889,6.0,6,0.1705,0.0435,161.3333,0,1,0,1.0,0,0,0,0,0,2.0,0,5,0,0.0,5.3333,0,1.0,0.0,0.0,0.0,0.0,0.3636,0,1.6667,0,0.6364,0,0,0.1,0.0,VGM Game Boy — Marin's Ocarina219 bytesMark CarrollComments — 219 bytesMark CarrollComments_f923932f.mid,176.0,4.09,11
11.6667,19.0,20,0.1071,0.0284,700.0,1,1,1.0,1.0,0,0,0,0,4.3376,3.4465,12,11,0.0,0.0,9.9839,106,1.0,0.0,0.614,0.0102,0.0765,0.7101,0,2.1944,0,0.1279,0,0,0.1031,0.0,VGM Game Boy — Metal Man's Theme12999 bytesHeat ManComments — 12999 bytesHeat ManComments_0c457739.mid,140.0,61.71,720
3.2205,5.0,6,0.3429,0.2521,193.2292,1,1,1.0,1.0,0,0,0,0,11.4122,3.457,24,19,26.7176,1.3746,10.8846,0,1.0,0.0,0.6505,0.0,0.0,0.406,0,1.2642,44,0.068,1,21,0.0972,0.0,VGM Game Boy — Music A & Music B (Loaded Remix)46048 bytesArchitectComments — 46048 bytesArchitectComments_e4a8811e.mid,175.0,131.66,424
2.5641,8.0,9,0.0625,0.265,153.8462,2,2,1.0169,1.0976,1,2,0.0,1.0,5.5172,2.0,12,8,0.0,0.0,7.5278,0,1.0,0.0,0.7319,0.1356,0.479,0.7423,1,2.6818,0,0.2111,0,0,0.0714,0.0,VGM Game Boy — New Bark Town (4)3868 bytesEJNorrisComments — 3868 bytesEJNorrisComments_1171bc5f.mid,80.0,39.0,100
7.7314,10.0,12,0.1136,0.1546,463.8857,1,1,1.0,1.0,0,0,0,0,3.0391,4.1483,14,14,1.4235,0.9569,9.856,204,1.0,0.0,0.8026,0.0,0.0,0.5283,0,1.4214,0,0.0273,0,0,0.1347,0.0,VGM Game Boy — Route 29 (2)8124 bytesJoo _Johnnyz_ BuaesComments — 8124 bytesJoo _Johnnyz_ BuaesComments_f44376b5.mid,132.0,63.64,492
3.6259,8.0,11,0.1429,0.3948,217.5514,1,1,1.0,1.0,0,0,0,0,6.3935,3.622,23,17,7.4856,1.2195,11.0924,0,1.0,0.0,0.212,0.0,0.0028,0.2806,1,1.3205,0,0.3724,0,0,0.0813,0.0,VGM Game Boy — The Player Wins_Character Select30006 bytesMerit CelaireComments — 30006 bytesMerit CelaireComments_6ceae6b8.mid,210.0,166.86,605
4.0676,10.0,12,0.163,0.4845,244.0556,1,1,1.0,1.0,0,0,0,0,2.4737,2.4737,7,7,0.0,0.0,5.7143,0,1.0,0.0,1.0,0.0,0.0659,0.6852,0,1.9697,0,0.0,0,0,0.3368,0.0,VGM Game Boy — Theme 125331 bytesMatthew SeldonComments — 25331 bytesMatthew SeldonComments_1c914b57.mid,92.0,93.91,382
